Tm,#Bat,#Fld,#P,2B,3B,A,AB,BA,BB9,BB_x,BB_y,BF,BK,BatAge,CG_x,CG_y,CS,Ch,DP,DefEff,E,ER,ERA,ERA+,FIP,Fld%,G,GDP,GF,GS_x,GS_y,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,Inn,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,PO,R/G,RA/G_y,RBI,R_x,R_y,Rdrs,Rdrs/yr,Rgood,Rtot,Rtot/yr,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,TB,WHIP,WP,cSho,tSho,playoffs
Arizona Diamondbacks,64.0,64.0,41.0,308.0,31.0,1374.0,5489.0,0.236,3.5,537.0,555.0,6270.0,7.0,28.9,1030.0,3.0,16.0,5726.0,113.0,0.685,100.0,804.0,5.11,83.0,4.88,0.983,162.0,99.0,159.0,1458.0,162.0,162.0,162.0,9.4,54.0,75.0,1.5,144.0,232.0,1297.0,1480.0,24.0,45.0,1417.1,12756.0,1152.0,1146.0,0.309,0.692,87.0,6144.0,28.5,4252.0,4.19,5.51,644.0,679.0,893.0,-37.0,0.0,-1.0,-20.0,-2.0,43.0,28.0,32.0,0.382,2.23,7.9,1465.0,1238.0,22.0,2099.0,1.436,43.0,3.0,4.0,0
Atlanta Braves,56.0,55.0,30.0,269.0,20.0,1483.0,5363.0,0.244,3.3,549.0,516.0,5944.0,8.0,28.2,1126.0,2.0,19.0,5786.0,104.0,0.708,71.0,608.0,3.88,112.0,4.09,0.988,161.0,81.0,159.0,1449.0,161.0,161.0,161.0,7.9,67.0,66.0,1.2,239.0,183.0,1307.0,1237.0,36.0,34.0,1410.2,12696.0,1072.0,1074.0,0.319,0.754,98.0,6056.0,29.5,4232.0,4.91,4.07,762.0,790.0,656.0,50.0,1.0,5.0,60.0,6.0,59.0,43.0,32.0,0.435,2.75,9.0,1453.0,1417.0,40.0,2333.0,1.243,73.0,2.0,18.0,0
Baltimore Orioles,62.0,62.0,42.0,266.0,15.0,1359.0,5420.0,0.239,3.6,451.0,563.0,6252.0,7.0,26.7,1093.0,1.0,23.0,5639.0,101.0,0.683,74.0,910.0,5.84,77.0,5.15,0.987,162.0,105.0,161.0,1458.0,162.0,162.0,162.0,9.7,65.0,68.0,1.7,195.0,258.0,1296.0,1518.0,12.0,12.0,1402.0,12618.0,1046.0,1103.0,0.304,0.705,92.0,5983.0,28.1,4206.0,4.07,5.9,632.0,659.0,956.0,-30.0,-1.0,-12.0,-47.0,-4.0,54.0,31.0,14.0,0.402,2.19,7.9,1454.0,1234.0,26.0,2177.0,1.484,88.0,1.0,5.0,0
Boston Red Sox,56.0,56.0,37.0,330.0,23.0,1421.0,5495.0,0.261,3.5,512.0,546.0,6147.0,6.0,28.0,1104.0,0.0,21.0,5786.0,143.0,0.659,108.0,671.0,4.26,110.0,3.95,0.981,162.0,100.0,162.0,1458.0,162.0,162.0,162.0,8.9,61.0,79.0,1.1,219.0,176.0,1434.0,1409.0,22.0,31.0,1419.0,12771.0,1093.0,1163.0,0.328,0.777,106.0,6122.0,29.7,4257.0,5.12,4.62,783.0,829.0,749.0,4.0,-1.0,-1.0,-65.0,-6.0,40.0,42.0,10.0,0.449,2.8,9.7,1386.0,1527.0,49.0,2467.0,1.378,63.0,0.0,7.0,1
Chicago Cubs,69.0,68.0,40.0,225.0,26.0,1554.0,5306.0,0.237,3.8,502.0,596.0,6202.0,4.0,29.1,1039.0,1.0,37.0,5879.0,149.0,0.691,87.0,765.0,4.87,87.0,4.88,0.985,162.0,133.0,161.0,1458.0,162.0,162.0,162.0,8.8,92.0,98.0,1.5,210.0,235.0,1255.0,1386.0,17.0,25.0,1412.2,12714.0,1019.0,1143.0,0.312,0.719,93.0,5972.0,29.4,4238.0,4.35,5.18,672.0,705.0,839.0,29.0,0.0,5.0,-21.0,-2.0,86.0,30.0,40.0,0.407,2.28,8.7,1596.0,1358.0,40.0,2162.0,1.403,60.0,0.0,8.0,0
Chicago White Sox,47.0,47.0,27.0,275.0,22.0,1210.0,5357.0,0.256,3.1,586.0,485.0,5861.0,6.0,28.0,1117.0,4.0,20.0,5517.0,112.0,0.694,97.0,581.0,3.73,118.0,3.74,0.982,162.0,139.0,158.0,1458.0,162.0,162.0,162.0,7.7,78.0,51.0,1.2,190.0,182.0,1373.0,1205.0,10.0,16.0,1403.1,12630.0,1125.0,1029.0,0.336,0.758,106.0,6084.0,28.3,4210.0,4.91,3.93,757.0,796.0,636.0,-40.0,-5.0,-14.0,-42.0,-4.0,57.0,39.0,24.0,0.422,3.27,10.2,1389.0,1588.0,43.0,2262.0,1.204,84.0,3.0,13.0,1
Cincinnati Reds,55.0,55.0,36.0,295.0,13.0,1422.0,5423.0,0.249,3.9,553.0,617.0,6199.0,8.0,28.9,1052.0,1.0,24.0,5816.0,125.0,0.688,91.0,702.0,4.4,107.0,4.34,0.984,162.0,129.0,161.0,1458.0,162.0,162.0,162.0,8.3,105.0,64.0,1.3,222.0,206.0,1352.0,1330.0,22.0,30.0,1434.1,12909.0,1110.0,1161.0,0.328,0.759,95.0,6162.0,28.9,4303.0,4.85,4.69,756.0,786.0,760.0,-32.0,0.0,7.0,-33.0,-3.0,36.0,45.0,35.0,0.431,2.47,9.6,1425.0,1524.0,41.0,2339.0,1.357,62.0,1.0,8.0,0
Cleveland Indians,48.0,48.0,25.0,248.0,22.0,1400.0,5332.0,0.238,3.3,453.0,522.0,5968.0,8.0,26.7,1149.0,0.0,17.0,5710.0,138.0,0.703,86.0,679.0,4.34,99.0,4.43,0.985,162.0,105.0,162.0,1458.0,162.0,162.0,162.0,8.2,64.0,59.0,1.4,203.0,216.0,1269.0,1281.0,18.0,12.0,1408.0,12672.0,987.0,1035.0,0.303,0.71,94.0,5907.0,26.3,4224.0,4.43,4.49,686.0,717.0,727.0,2.0,0.0,-1.0,27.0,3.0,109.0,36.0,20.0,0.407,2.66,8.9,1387.0,1391.0,39.0,2170.0,1.281,52.0,0.0,9.0,0
Colorado Rockies,45.0,45.0,26.0,275.0,34.0,1516.0,5374.0,0.249,3.5,491.0,539.0,6044.0,3.0,28.1,1094.0,3.0,23.0,5780.0,140.0,0.686,73.0,748.0,4.82,100.0,4.47,0.987,161.0,98.0,158.0,1449.0,161.0,161.0,161.0,9.0,58.0,63.0,1.3,182.0,196.0,1338.0,1397.0,24.0,19.0,1397.0,12573.0,1074.0,1081.0,0.317,0.731,86.0,6007.0,28.3,4191.0,4.59,4.94,709.0,739.0,796.0,61.0,4.0,1.0,22.0,2.0,76.0,36.0,48.0,0.414,2.35,8.2,1356.0,1269.0,33.0,2227.0,1.386,67.0,1.0,6.0,0
Detroit Tigers,49.0,49.0,29.0,236.0,37.0,1492.0,5376.0,0.242,3.6,490.0,571.0,6164.0,3.0,28.1,1145.0,2.0,25.0,5834.0,136.0,0.698,83.0,681.0,4.32,99.0,4.6,0.986,162.0,113.0,160.0,1458.0,162.0,162.0,162.0,8.7,44.0,82.0,1.3,179.0,199.0,1299.0,1370.0,8.0,10.0,1419.2,12777.0,1031.0,1174.0,0.308,0.707,96.0,5979.0,27.3,4259.0,4.3,4.67,675.0,697.0,756.0,-35.0,-1.0,-10.0,-22.0,-2.0,88.0,50.0,17.0,0.399,2.2,8.0,1514.0,1259.0,42.0,2146.0,1.367,80.0,1.0,7.0,0
Houston Astros,52.0,51.0,32.0,299.0,14.0,1432.0,5593.0,0.267,3.4,569.0,549.0,6060.0,4.0,28.9,1153.0,2.0,16.0,5836.0,126.0,0.713,69.0,607.0,3.78,114.0,4.12,0.988,162.0,136.0,160.0,1458.0,162.0,162.0,162.0,7.7,64.0,70.0,1.2,221.0,187.0,1496.0,1231.0,25.0,12.0,1445.0,13005.0,1159.0,1092.0,0.339,0.783,113.0,6291.0,28.7,4335.0,5.33,4.06,834.0,863.0,658.0,76.0,0.0,0.0,53.0,5.0,53.0,54.0,9.0,0.444,2.65,9.1,1222.0,1456.0,34.0,2486.0,1.232,72.0,0.0,8.0,1
Kansas City Royals,48.0,47.0,30.0,251.0,29.0,1422.0,5427.0,0.249,3.8,421.0,591.0,6127.0,9.0,29.3,1114.0,1.0,33.0,5758.0,152.0,0.685,84.0,731.0,4.64,99.0,4.39,0.985,162.0,100.0,161.0,1458.0,162.0,162.0,162.0,8.7,55.0,62.0,1.2,163.0,189.0,1349.0,1375.0,8.0,16.0,1417.1,12756.0,1050.0,1101.0,0.306,0.702,90.0,5993.0,27.9,4252.0,4.23,4.86,647.0,686.0,788.0,23.0,0.0,6.0,20.0,2.0,124.0,52.0,31.0,0.396,2.27,8.5,1258.0,1344.0,37.0,2147.0,1.387,86.0,0.0,7.0,0
Los Angeles Angels,64.0,64.0,41.0,265.0,23.0,1419.0,5437.0,0.245,3.7,464.0,592.0,6196.0,11.0,29.2,1108.0,1.0,26.0,5772.0,131.0,0.68,88.0,741.0,4.69,96.0,4.25,0.985,162.0,107.0,161.0,1458.0,162.0,162.0,162.0,8.7,59.0,76.0,1.2,190.0,188.0,1331.0,1373.0,35.0,18.0,1421.2,12795.0,1029.0,1141.0,0.31,0.717,93.0,6019.0,28.6,4265.0,4.46,4.96,691.0,723.0,804.0,-29.0,-1.0,-2.0,-34.0,-3.0,79.0,25.0,30.0,0.407,2.45,9.2,1394.0,1453.0,39.0,2212.0,1.382,56.0,0.0,4.0,0
Los Angeles Dodgers,61.0,61.0,39.0,247.0,24.0,1303.0,5445.0,0.244,3.0,613.0,486.0,5948.0,9.0,29.2,1021.0,1.0,17.0,5748.0,94.0,0.723,89.0,486.0,3.01,140.0,3.54,0.985,162.0,96.0,161.0,1458.0,162.0,162.0,162.0,6.9,104.0,63.0,1.0,237.0,161.0,1330.0,1107.0,36.0,43.0,1452.0,13068.0,1169.0,1063.0,0.33,0.759,101.0,6239.0,28.8,4356.0,5.12,3.46,799.0,830.0,561.0,36.0,0.0,-2.0,30.0,3.0,65.0,45.0,32.0,0.429,3.29,9.9,1408.0,1599.0,56.0,2336.0,1.097,52.0,0.0,17.0,1
Miami Marlins,61.0,61.0,34.0,226.0,23.0,1443.0,5348.0,0.233,3.4,450.0,529.0,6027.0,2.0,28.2,1107.0,1.0,29.0,5810.0,146.0,0.689,122.0,622.0,3.96,107.0,4.01,0.979,162.0,95.0,161.0,1458.0,162.0,162.0,162.0,8.2,65.0,88.0,1.0,158.0,162.0,1244.0,1282.0,25.0,43.0,1415.0,12735.0,1042.0,1103.0,0.298,0.671,81.0,5929.0,27.3,4245.0,3.85,4.33,594.0,623.0,701.0,55.0,1.0,-8.0,4.0,0.0,106.0,30.0,30.0,0.372,2.61,8.8,1553.0,1381.0,33.0,1990.0,1.28,58.0,0.0,8.0,0
Milwaukee Brewers,61.0,60.0,38.0,255.0,18.0,1331.0,5362.0,0.233,3.4,586.0,537.0,5990.0,9.0,28.7,1041.0,2.0,21.0,5733.0,102.0,0.708,94.0,558.0,3.5,119.0,3.72,0.984,162.0,102.0,160.0,1458.0,162.0,162.0,162.0,7.2,88.0,77.0,1.1,194.0,168.0,1251.0,1156.0,26.0,19.0,1436.0,12924.0,1113.0,1084.0,0.317,0.713,92.0,6099.0,28.1,4308.0,4.56,3.85,700.0,738.0,623.0,61.0,-1.0,1.0,34.0,3.0,82.0,35.0,25.0,0.396,3.01,10.1,1465.0,1618.0,44.0,2124.0,1.179,60.0,1.0,19.0,1
Minnesota Twins,57.0,56.0,35.0,271.0,17.0,1420.0,5431.0,0.241,3.1,525.0,484.0,6080.0,3.0,28.3,1066.0,1.0,15.0,5785.0,139.0,0.692,107.0,762.0,4.83,89.0,4.66,0.982,162.0,122.0,161.0,1458.0,162.0,162.0,162.0,8.8,70.0,62.0,1.5,228.0,239.0,1311.0,1392.0,17.0,13.0,1419.1,12774.0,1092.0,1017.0,0.314,0.738,103.0,6078.0,29.8,4258.0,4.5,5.15,690.0,729.0,834.0,32.0,0.0,8.0,-10.0,-1.0,54.0,42.0,7.0,0.423,2.72,8.4,1405.0,1317.0,42.0,2300.0,1.322,48.0,0.0,9.0,0
New York Mets,64.0,64.0,42.0,228.0,18.0,1312.0,5210.0,0.239,3.1,495.0,475.0,5785.0,1.0,28.2,1069.0,2.0,26.0,5545.0,121.0,0.697,95.0,597.0,3.9,104.0,4.03,0.983,162.0,123.0,160.0,1458.0,162.0,162.0,162.0,8.0,94.0,70.0,1.2,176.0,190.0,1243.0,1221.0,25.0,21.0,1379.1,12414.0,1099.0,1005.0,0.315,0.705,93.0,5856.0,29.5,4138.0,3.93,4.12,604.0,636.0,668.0,48.0,0.0,0.0,15.0,1.0,54.0,23.0,34.0,0.391,3.06,9.5,1392.0,1453.0,41.0,2035.0,1.23,53.0,1.0,8.0,0
New York Yankees,59.0,59.0,30.0,213.0,12.0,1318.0,5331.0,0.237,3.1,621.0,492.0,5999.0,8.0,29.3,1044.0,3.0,18.0,5722.0,115.0,0.698,98.0,596.0,3.74,115.0,3.9,0.983,162.0,154.0,159.0,1458.0,162.0,162.0,162.0,7.8,63.0,56.0,1.2,222.0,196.0,1266.0,1243.0,14.0,10.0,1435.1,12918.0,1097.0,1048.0,0.322,0.729,100.0,6060.0,29.3,4306.0,4.39,4.13,666.0,711.0,669.0,-41.0,-1.0,-8.0,-37.0,-3.0,63.0,34.0,10.0,0.407,3.19,9.8,1482.0,1569.0,47.0,2169.0,1.209,85.0,2.0,13.0,1
Oakland Athletics,50.0,50.0,27.0,271.0,19.0,1320.0,5395.0,0.238,2.8,545.0,439.0,6060.0,2.0,30.1,1101.0,3.0,20.0,5691.0,116.0,0.698,72.0,640.0,4.02,103.0,4.1,0.987,162.0,99.0,159.0,1458.0,162.0,162.0,162.0,8.6,98.0,64.0,1.2,199.0,191.0,1284.0,1362.0,17.0,11.0,1433.0,12897.0,1084.0,1089.0,0.317,0.723,102.0,6104.0,30.1,4299.0,4.59,4.24,698.0,743.0,687.0,-10.0,0.0,-7.0,-9.0,-1.0,88.0,49.0,17.0,0.406,3.03,8.4,1349.0,1332.0,39.0,2190.0,1.257,63.0,3.0,11.0,0
Philadelphia Phillies,55.0,55.0,35.0,262.0,24.0,1439.0,5366.0,0.24,3.2,564.0,509.0,6055.0,5.0,29.1,1053.0,5.0,19.0,5789.0,142.0,0.687,94.0,692.0,4.39,96.0,4.15,0.984,162.0,103.0,157.0,1458.0,162.0,162.0,162.0,8.4,67.0,75.0,1.3,198.0,200.0,1288.0,1321.0,37.0,37.0,1418.2,12768.0,1115.0,1074.0,0.318,0.726,95.0,6089.0,28.8,4256.0,4.53,4.6,700.0,734.0,745.0,-54.0,-1.0,-2.0,-54.0,-5.0,77.0,43.0,47.0,0.408,2.91,9.4,1402.0,1480.0,36.0,2192.0,1.29,49.0,4.0,12.0,0
Pittsburgh Pirates,64.0,64.0,38.0,240.0,35.0,1378.0,5336.0,0.236,3.9,529.0,606.0,6140.0,5.0,27.5,1129.0,0.0,30.0,5637.0,139.0,0.687,70.0,788.0,5.08,84.0,4.74,0.988,162.0,102.0,162.0,1458.0,162.0,162.0,162.0,9.0,49.0,78.0,1.4,124.0,213.0,1261.0,1400.0,24.0,26.0,1396.1,12567.0,1128.0,1128.0,0.309,0.673,82.0,5983.0,27.4,4189.0,3.76,5.14,570.0,609.0,833.0,-9.0,1.0,9.0,-25.0,-2.0,60.0,37.0,31.0,0.364,2.17,8.5,1328.0,1312.0,25.0,1943.0,1.437,55.0,0.0,6.0,0
San Diego Padres,54.0,54.0,34.0,273.0,21.0,1399.0,5384.0,0.242,3.2,586.0,516.0,6056.0,2.0,28.0,1119.0,2.0,39.0,5771.0,139.0,0.698,82.0,651.0,4.1,95.0,4.18,0.986,162.0,121.0,160.0,1458.0,162.0,162.0,162.0,8.0,61.0,87.0,1.3,180.0,205.0,1305.0,1277.0,42.0,33.0,1430.0,12870.0,1123.0,1086.0,0.321,0.722,101.0,6119.0,29.6,4290.0,4.5,4.37,695.0,729.0,708.0,16.0,0.0,7.0,-10.0,-1.0,110.0,46.0,36.0,0.401,2.94,9.5,1324.0,1517.0,43.0,2160.0,1.254,57.0,2.0,11.0,0
Seattle Mariners,63.0,62.0,38.0,233.0,11.0,1384.0,5355.0,0.226,3.0,535.0,485.0,6106.0,3.0,27.0,1166.0,1.0,24.0,5784.0,135.0,0.699,79.0,688.0,4.3,97.0,4.26,0.986,162.0,92.0,161.0,1458.0,162.0,162.0,162.0,8.5,72.0,69.0,1.2,199.0,197.0,1209.0,1356.0,8.0,23.0,1440.1,12963.0,1040.0,1065.0,0.303,0.688,92.0,6010.0,28.0,4321.0,4.3,4.62,673.0,697.0,748.0,-1.0,0.0,-1.0,-6.0,-1.0,64.0,36.0,9.0,0.385,2.74,8.3,1492.0,1328.0,51.0,2061.0,1.278,58.0,0.0,10.0,0
San Francisco Giants,54.0,54.0,34.0,271.0,25.0,1471.0,5462.0,0.249,2.6,602.0,416.0,6002.0,7.0,30.6,913.0,2.0,14.0,5916.0,122.0,0.707,80.0,524.0,3.24,128.0,3.55,0.986,162.0,117.0,160.0,1458.0,162.0,162.0,162.0,7.8,64.0,63.0,0.9,241.0,151.0,1360.0,1254.0,45.0,20.0,1455.0,13095.0,1138.0,1072.0,0.329,0.769,107.0,6196.0,29.7,4365.0,4.96,3.67,768.0,804.0,594.0,32.0,0.0,-1.0,38.0,4.0,66.0,30.0,36.0,0.44,3.43,8.8,1461.0,1425.0,56.0,2404.0,1.148,44.0,2.0,18.0,1
St. Louis Cardinals,51.0,51.0,33.0,261.0,22.0,1514.0,5351.0,0.244,3.9,478.0,608.0,6046.0,4.0,28.5,1147.0,3.0,22.0,5849.0,137.0,0.714,84.0,626.0,3.98,99.0,4.3,0.986,162.0,99.0,159.0,1458.0,162.0,162.0,162.0,7.8,86.0,85.0,1.0,198.0,152.0,1303.0,1234.0,32.0,30.0,1417.0,12753.0,1081.0,1134.0,0.313,0.725,99.0,6001.0,30.1,4251.0,4.36,4.15,678.0,706.0,672.0,81.0,4.0,4.0,52.0,5.0,89.0,44.0,40.0,0.412,2.01,7.8,1341.0,1225.0,50.0,2202.0,1.3,66.0,1.0,15.0,1
Tampa Bay Rays,61.0,61.0,41.0,288.0,36.0,1358.0,5507.0,0.243,2.7,585.0,436.0,5998.0,6.0,27.7,1038.0,1.0,42.0,5805.0,130.0,0.706,80.0,593.0,3.67,111.0,3.79,0.986,162.0,75.0,161.0,1458.0,162.0,162.0,162.0,7.8,72.0,55.0,1.1,222.0,184.0,1336.0,1264.0,27.0,27.0,1455.2,13101.0,1085.0,1009.0,0.321,0.75,110.0,6213.0,28.8,4367.0,5.29,4.02,810.0,857.0,651.0,72.0,2.0,-5.0,33.0,3.0,88.0,41.0,6.0,0.429,3.39,9.1,1542.0,1478.0,42.0,2362.0,1.168,64.0,0.0,13.0,1
Texas Rangers,54.0,54.0,32.0,225.0,24.0,1462.0,5405.0,0.232,3.2,433.0,513.0,6103.0,0.0,26.8,1199.0,0.0,29.0,5818.0,146.0,0.698,83.0,758.0,4.79,93.0,4.76,0.986,162.0,113.0,162.0,1458.0,162.0,162.0,162.0,8.9,58.0,61.0,1.5,167.0,232.0,1254.0,1402.0,10.0,11.0,1424.1,12819.0,1007.0,1040.0,0.294,0.67,83.0,5943.0,27.8,4273.0,3.86,5.03,598.0,625.0,815.0,86.0,0.0,-1.0,58.0,5.0,106.0,31.0,16.0,0.375,2.42,7.8,1381.0,1239.0,31.0,2028.0,1.344,67.0,0.0,3.0,0
Toronto Blue Jays,62.0,61.0,38.0,285.0,13.0,1371.0,5476.0,0.266,3.0,496.0,473.0,5916.0,4.0,26.8,1047.0,1.0,20.0,5677.0,122.0,0.7,90.0,610.0,3.91,115.0,4.18,0.984,162.0,112.0,161.0,1458.0,162.0,162.0,162.0,8.1,51.0,75.0,1.3,262.0,209.0,1455.0,1257.0,14.0,10.0,1405.1,12648.0,1056.0,1054.0,0.33,0.797,113.0,6070.0,29.1,4216.0,5.22,4.09,816.0,846.0,663.0,22.0,1.0,1.0,7.0,1.0,81.0,35.0,10.0,0.466,3.1,9.4,1218.0,1468.0,34.0,2552.0,1.231,54.0,1.0,14.0,0
Washington Nationals,60.0,59.0,33.0,272.0,20.0,1361.0,5385.0,0.258,3.5,573.0,548.0,6073.0,1.0,28.7,1168.0,1.0,26.0,5641.0,116.0,0.694,96.0,743.0,4.8,84.0,4.87,0.983,162.0,158.0,161.0,1458.0,162.0,162.0,162.0,8.8,84.0,71.0,1.6,182.0,247.0,1388.0,1364.0,43.0,46.0,1394.1,12549.0,1185.0,1087.0,0.337,0.754,107.0,6113.0,30.1,4184.0,4.47,5.06,686.0,724.0,820.0,12.0,0.0,14.0,-29.0,-3.0,56.0,31.0,38.0,0.417,2.46,8.7,1303.0,1346.0,36.0,2246.0,1.371,43.0,0.0,8.0,0
